Statistical profiling result from isolate-0x3963e20-2320-v8.log, (293642 ticks, 59797 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      8    0.0%    0.0%  v8::internal::String::Flatten(v8::internal::Isolate*, v8::internal::Handle<v8::internal::String>, v8::internal::AllocationType)
      8    0.0%    0.0%  v8::Value::IsUint8Array() const
      8    0.0%    0.0%  v8::Value::IsUint32() const
      8    0.0%    0.0%  v8::Value::IsInt8Array() const
      8    0.0%    0.0%  v8::Object::Get(v8::Local<v8::Context>, v8::Local<v8::Value>)
      8    0.0%    0.0%  node::crypto::SSLWrap<node::TLSWrap>::SetSession(v8::FunctionCallbackInfo<v8::Value> const&)
      8    0.0%    0.0%  _IO_vfprintf
      7    0.0%    0.0%  void node::Buffer::(anonymous namespace)::StringWrite<(node::encoding)1>(v8::FunctionCallbackInfo<v8::Value> const&)
      7    0.0%    0.0%  void node::Buffer::(anonymous namespace)::StringSlice<(node::encoding)5>(v8::FunctionCallbackInfo<v8::Value> const&)
      7    0.0%    0.0%  void node::(anonymous namespace)::CompressionStream<node::(anonymous namespace)::ZlibContext>::Write<true>(v8::FunctionCallbackInfo<v8::Value> const&)
      7    0.0%    0.0%  v8::Value::IsFunction() const
      7    0.0%    0.0%  v8::Value::IsArray() const
      7    0.0%    0.0%  v8::Object::Get(v8::Local<v8::Context>, unsigned int)
      7    0.0%    0.0%  non-virtual thunk to node::TLSWrap::OnStreamAlloc(unsigned long)
      7    0.0%    0.0%  node::crypto::SecureContext::SetCiphers(v8::FunctionCallbackInfo<v8::Value> const&)
      7    0.0%    0.0%  node::LibuvStreamWrap::ReadStart()::{lambda(uv_handle_s*, unsigned long, uv_buf_t*)#1}::_FUN(uv_handle_s*, unsigned long, uv_buf_t*)
      7    0.0%    0.0%  node::AsyncWrap::EmitTraceEventBefore()
      7    0.0%    0.0%  _IO_fwrite
      6    0.0%    0.0%  node::fs::LStat(v8::FunctionCallbackInfo<v8::Value> const&)
      6    0.0%    0.0%  node::fs::InternalModuleReadJSON(v8::FunctionCallbackInfo<v8::Value> const&)
      6    0.0%    0.0%  node::TCPWrap::Connect(v8::FunctionCallbackInfo<v8::Value> const&)
      6    0.0%    0.0%  node::InternalMakeCallback(node::Environment*, v8::Local<v8::Object>, v8::Local<v8::Object>, v8::Local<v8::Function>, int, v8::Local<v8::Value>*, node::async_context)
      6    0.0%    0.0%  epoll_ctl
      6    0.0%    0.0%  __pthread_cond_broadcast
      5    0.0%    0.0%  v8::internal::AstValueFactory::GetString(unsigned int, bool, v8::internal::Vector<unsigned char const>)
      5    0.0%    0.0%  v8::internal::AstValueFactory::GetOneByteStringInternal(v8::internal::Vector<unsigned char const>)
      5    0.0%    0.0%  v8::V8::DisposeGlobal(unsigned long*)
      5    0.0%    0.0%  v8::Isolate::SuppressMicrotaskExecutionScope::~SuppressMicrotaskExecutionScope()
      5    0.0%    0.0%  node::fs::FStat(v8::FunctionCallbackInfo<v8::Value> const&)
      5    0.0%    0.0%  node::crypto::NodeBIO::Ctrl(bio_st*, int, long, void*)
      4    0.0%    0.0%  v8::internal::DateParser::DateStringTokenizer<unsigned char const>::Scan()
      4    0.0%    0.0%  v8::Object::GetPrivate(v8::Local<v8::Context>, v8::Local<v8::Private>)
      4    0.0%    0.0%  v8::Isolate::ClearKeptObjects()
      4    0.0%    0.0%  std::basic_ostream<char, std::char_traits<char> >& std::__ostream_insert<char, std::char_traits<char> >(std::basic_ostream<char, std::char_traits<char> >&, char const*, long)
      4    0.0%    0.0%  operator delete(void*)
      4    0.0%    0.0%  node::fs::Read(v8::FunctionCallbackInfo<v8::Value> const&)
      4    0.0%    0.0%  node::Environment::RunAndClearInterrupts()
      4    0.0%    0.0%  node::EmitToJSStreamListener::OnStreamAlloc(unsigned long)
      4    0.0%    0.0%  node::Buffer::Data(v8::Local<v8::Value>)
      4    0.0%    0.0%  node::Buffer::(anonymous namespace)::ParseArrayIndex(node::Environment*, v8::Local<v8::Value>, unsigned long, unsigned long*)
      4    0.0%    0.0%  node::AddressToJS(node::Environment*, sockaddr const*, v8::Local<v8::Object>)
      4    0.0%    0.0%  __pthread_disable_asynccancel
      4    0.0%    0.0%  __GI___libc_read
      3    0.0%    0.0%  void node::StreamBase::JSMethod<&node::StreamBase::Shutdown>(v8::FunctionCallbackInfo<v8::Value> const&)
      3    0.0%    0.0%  v8::internal::Worklist<std::pair<v8::internal::HeapObject, int>, 256>::View::Push(std::pair<v8::internal::HeapObject, int>) [clone .isra.347]
      3    0.0%    0.0%  v8::internal::HandleScopeImplementer::IterateThis(v8::internal::RootVisitor*)
      3    0.0%    0.0%  v8::internal::FunctionCallbackArguments::FunctionCallbackArguments(v8::internal::Isolate*, v8::internal::Object, v8::internal::HeapObject, v8::internal::Object, v8::internal::HeapObject, unsigned long*, int)
      3    0.0%    0.0%  v8::internal::FixedArray::set(int, v8::internal::Object)
      3    0.0%    0.0%  v8::internal::Compiler::Compile(v8::internal::Handle<v8::internal::JSFunction>, v8::internal::Compiler::ClearExceptionFlag, v8::internal::IsCompiledScope*)
      3    0.0%    0.0%  v8::internal::CompilationCache::Iterate(v8::internal::RootVisitor*)
      3    0.0%    0.0%  v8::internal::Builtin_ObjectDefineProperty(int, unsigned long*, v8::internal::Isolate*)
      3    0.0%    0.0%  v8::TryCatch::SetCaptureMessage(bool)
      3    0.0%    0.0%  node::crypto::NodeBIO::Read(char*, unsigned long)
      3    0.0%    0.0%  node::crypto::NodeBIO::Read(bio_st*, char*, int)
      3    0.0%    0.0%  node::crypto::NodeBIO::PeekWritable(unsigned long*)
      3    0.0%    0.0%  node::cares_wrap::(anonymous namespace)::GetAddrInfo(v8::FunctionCallbackInfo<v8::Value> const&)
      3    0.0%    0.0%  node::UDPWrap::OnAlloc(unsigned long)
      3    0.0%    0.0%  node::TLSWrap::DestroySSL(v8::FunctionCallbackInfo<v8::Value> const&)
      3    0.0%    0.0%  node::TLSWrap::ClearOut()
      3    0.0%    0.0%  node::SyncProcessRunner::Spawn(v8::FunctionCallbackInfo<v8::Value> const&)
      3    0.0%    0.0%  node::StringBytes::Encode(v8::Isolate*, char const*, unsigned long, node::encoding, v8::Local<v8::Value>*)
      3    0.0%    0.0%  node::HandleWrap::Close(v8::FunctionCallbackInfo<v8::Value> const&)
      3    0.0%    0.0%  node::EnvGetter(v8::Local<v8::Name>, v8::PropertyCallbackInfo<v8::Value> const&)
      3    0.0%    0.0%  node::AsyncWrap::EmitTraceEventAfter(node::AsyncWrap::ProviderType, double)
      3    0.0%    0.0%  memchr
      2    0.0%    0.0%  void node::StreamBase::JSMethod<&(int node::StreamBase::WriteString<(node::encoding)4>(v8::FunctionCallbackInfo<v8::Value> const&))>(v8::FunctionCallbackInfo<v8::Value> const&)
      2    0.0%    0.0%  v8::internal::libc_memcpy(void*, void const*, unsigned long)
      2    0.0%    0.0%  v8::internal::Zone::New(unsigned long)
      2    0.0%    0.0%  v8::internal::Variable* v8::internal::Scope::Lookup<(v8::internal::Scope::ScopeLookupMode)1>(v8::internal::VariableProxy*, v8::internal::Scope*, v8::internal::Scope*, v8::internal::Scope*, bool)
      2    0.0%    0.0%  v8::internal::Variable* v8::internal::Scope::Lookup<(v8::internal::Scope::ScopeLookupMode)0>(v8::internal::VariableProxy*, v8::internal::Scope*, v8::internal::Scope*, v8::internal::Scope*, bool)
      2    0.0%    0.0%  v8::internal::SequentialStringKey<unsigned char>::IsMatch(v8::internal::String)
      2    0.0%    0.0%  v8::internal::Scope::LookupInScopeInfo(v8::internal::AstRawString const*, v8::internal::Scope*)
      2    0.0%    0.0%  v8::internal::Compiler::PostInstantiation(v8::internal::Handle<v8::internal::JSFunction>)
      2    0.0%    0.0%  v8::internal::Call::GetCallType() const
      2    0.0%    0.0%  v8::internal::Builtin_JsonParse(int, unsigned long*, v8::internal::Isolate*)
      2    0.0%    0.0%  v8::internal::Builtin_ArrayShift(int, unsigned long*, v8::internal::Isolate*)
      2    0.0%    0.0%  strlen
      2    0.0%    0.0%  strchrnul
      2    0.0%    0.0%  std::ostream::sentry::sentry(std::ostream&)
      2    0.0%    0.0%  node::loader::ModuleWrap::SetSyntheticExport(v8::FunctionCallbackInfo<v8::Value> const&)
      2    0.0%    0.0%  node::loader::ModuleWrap::New(v8::FunctionCallbackInfo<v8::Value> const&)
      2    0.0%    0.0%  node::TLSWrap::Wrap(v8::FunctionCallbackInfo<v8::Value> const&)
      2    0.0%    0.0%  node::TLSWrap::OnStreamRead(long, uv_buf_t const&)
      2    0.0%    0.0%  node::TLSWrap::InvokeQueued(int, char const*)
      2    0.0%    0.0%  node::Environment::Reallocate(char*, unsigned long, unsigned long)
      2    0.0%    0.0%  node::EmitToJSStreamListener::OnStreamRead(long, uv_buf_t const&)
      2    0.0%    0.0%  node::(anonymous namespace)::Parser::Initialize(v8::FunctionCallbackInfo<v8::Value> const&)
      2    0.0%    0.0%  bool v8::internal::DateParser::Parse<unsigned char const>(v8::internal::Isolate*, v8::internal::Vector<unsigned char const>, double*)
      2    0.0%    0.0%  _IO_fflush
      1    0.0%    0.0%  writev
      1    0.0%    0.0%  void node::StreamBase::JSMethod<&(int node::StreamBase::WriteString<(node::encoding)1>(v8::FunctionCallbackInfo<v8::Value> const&))>(v8::FunctionCallbackInfo<v8::Value> const&)
      1    0.0%    0.0%  v8::internal::tracing::ScopedTracer::~ScopedTracer()
      1    0.0%    0.0%  v8::internal::Variable::IsGlobalObjectProperty() const
      1    0.0%    0.0%  v8::internal::StringSearch<unsigned char, unsigned short>::InitialSearch(v8::internal::StringSearch<unsigned char, unsigned short>*, v8::internal::Vector<unsigned short const>, int)
      1    0.0%    0.0%  v8::internal::Scope::MustAllocate(v8::internal::Variable*)
      1    0.0%    0.0%  v8::internal::Scope::DeserializeScopeChain(v8::internal::Isolate*, v8::internal::Zone*, v8::internal::ScopeInfo, v8::internal::DeclarationScope*, v8::internal::AstValueFactory*, v8::internal::Scope::DeserializationMode)
      1    0.0%    0.0%  v8::internal::Scope::DeclareVariable(v8::internal::Declaration*, v8::internal::AstRawString const*, int, v8::internal::VariableMode, v8::internal::VariableKind, v8::internal::InitializationFlag, bool*, bool*, bool*)
      1    0.0%    0.0%  v8::internal::Scope::AllocateVariablesRecursively()
      1    0.0%    0.0%  v8::internal::OptimizedCompilationJob::FinalizeJob(v8::internal::Isolate*)
      1    0.0%    0.0%  v8::internal::ObjectLiteral::CalculateEmitStore(v8::internal::Zone*)
      1    0.0%    0.0%  v8::internal::HandlerTable::LengthForRange(int)
      1    0.0%    0.0%  v8::internal::HandlerTable::HandlerTable(unsigned long, int, v8::internal::HandlerTable::EncodingMode)
      1    0.0%    0.0%  v8::internal::DeclarationScope::DeclareParameter(v8::internal::AstRawString const*, v8::internal::VariableMode, bool, bool, v8::internal::AstValueFactory*, int)
      1    0.0%    0.0%  v8::internal::DeclarationScope::DeclareDefaultFunctionVariables(v8::internal::AstValueFactory*)
      1    0.0%    0.0%  v8::internal::DeclarationScope::DeclarationScope(v8::internal::Zone*, v8::internal::Scope*, v8::internal::ScopeType, v8::internal::FunctionKind)
      1    0.0%    0.0%  v8::internal::DeclarationScope::DeclarationScope(v8::internal::Zone*, v8::internal::AstValueFactory*)
      1    0.0%    0.0%  v8::internal::Builtin_ObjectFreeze(int, unsigned long*, v8::internal::Isolate*)
      1    0.0%    0.0%  v8::internal::AstValueFactory::NewConsString()
      1    0.0%    0.0%  v8::internal::AstValueFactory::Internalize(v8::internal::Isolate*)
      1    0.0%    0.0%  v8::internal::Accessors::FunctionPrototypeGetter(v8::Local<v8::Name>, v8::PropertyCallbackInfo<v8::Value> const&)
      1    0.0%    0.0%  v8::internal::Accessors::FunctionNameGetter(v8::Local<v8::Name>, v8::PropertyCallbackInfo<v8::Value> const&)
      1    0.0%    0.0%  v8::base::TemplateHashMapImpl<void*, void*, v8::base::KeyEqualityMatcher<void*>, v8::internal::ZoneAllocationPolicy>::FillEmptyEntry(v8::base::TemplateHashMapEntry<void*, void*>*, void* const&, void* const&, unsigned int, v8::internal::ZoneAllocationPolicy)
      1    0.0%    0.0%  v8::Value::IsTrue() const
      1    0.0%    0.0%  v8::Isolate::InContext()
      1    0.0%    0.0%  std::ostreambuf_iterator<char, std::char_traits<char> > std::num_put<char, std::ostreambuf_iterator<char, std::char_traits<char> > >::_M_insert_int<long>(std::ostreambuf_iterator<char, std::char_traits<char> >, std::ios_base&, char, long) const
      1    0.0%    0.0%  std::ostream::operator<<(int)
      1    0.0%    0.0%  std::locale::id::_M_id() const
      1    0.0%    0.0%  std::ios_base::_M_dispose_callbacks()
      1    0.0%    0.0%  std::_Rb_tree_insert_and_rebalance(bool, std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node_base&)
      1    0.0%    0.0%  std::_Rb_tree_increment(std::_Rb_tree_node_base const*)
      1    0.0%    0.0%  std::_Hashtable<int, int, std::allocator<int>, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_insert_unique_node(unsigned long, unsigned long, std::__detail::_Hash_node<int, false>*)
      1    0.0%    0.0%  shutdown
      1    0.0%    0.0%  operator new[](unsigned long)
      1    0.0%    0.0%  operator delete[](void*)
      1    0.0%    0.0%  non-virtual thunk to node::TLSWrap::OnStreamRead(long, uv_buf_t const&)
      1    0.0%    0.0%  node::worker::Worker::New(v8::FunctionCallbackInfo<v8::Value> const&)
      1    0.0%    0.0%  node::worker::MessagePort::PostMessage(v8::FunctionCallbackInfo<v8::Value> const&)
      1    0.0%    0.0%  node::worker::(anonymous namespace)::MessageChannel(v8::FunctionCallbackInfo<v8::Value> const&)
      1    0.0%    0.0%  node::i18n::ToASCII(v8::FunctionCallbackInfo<v8::Value> const&)
      1    0.0%    0.0%  node::crypto::SecureContext::New(v8::FunctionCallbackInfo<v8::Value> const&)
      1    0.0%    0.0%  node::crypto::SecureContext::Close(v8::FunctionCallbackInfo<v8::Value> const&)
      1    0.0%    0.0%  node::crypto::GetRootCertificates(v8::FunctionCallbackInfo<v8::Value> const&)
      1    0.0%    0.0%  node::UDPWrap::OnRecv(long, uv_buf_t const&, sockaddr const*, unsigned int)
      1    0.0%    0.0%  node::TLSWrap::GetServername(v8::FunctionCallbackInfo<v8::Value> const&)
      1    0.0%    0.0%  node::TLSWrap::GetSSLError(int, int*, std::string*)
      1    0.0%    0.0%  node::TLSWrap::EncOut()
      1    0.0%    0.0%  node::TCPWrap::New(v8::FunctionCallbackInfo<v8::Value> const&)
      1    0.0%    0.0%  node::SimpleWriteWrap<node::AsyncWrap>::~SimpleWriteWrap()
      1    0.0%    0.0%  node::NodePlatform::MonotonicallyIncreasingTime()
      1    0.0%    0.0%  node::InternalCallbackScope::Close()
      1    0.0%    0.0%  node::Buffer::(anonymous namespace)::ByteLengthUtf8(v8::FunctionCallbackInfo<v8::Value> const&)
      1    0.0%    0.0%  node::AsyncWrap::~AsyncWrap()
      1    0.0%    0.0%  node::AsyncWrap::MakeCallback(v8::Local<v8::Function>, int, v8::Local<v8::Value>*)
      1    0.0%    0.0%  node::AsyncWrap::EmitTraceEventDestroy()
      1    0.0%    0.0%  node::AsyncWrap::AsyncReset(v8::FunctionCallbackInfo<v8::Value> const&)
      1    0.0%    0.0%  node::(anonymous namespace)::Parser::Free(v8::FunctionCallbackInfo<v8::Value> const&)
      1    0.0%    0.0%  node::(anonymous namespace)::DecodeData(v8::FunctionCallbackInfo<v8::Value> const&)
      1    0.0%    0.0%  munmap
      1    0.0%    0.0%  mmap
      1    0.0%    0.0%  memcpy
      1    0.0%    0.0%  bool std::has_facet<std::num_put<char, std::ostreambuf_iterator<char, std::char_traits<char> > > >(std::locale const&)
      1    0.0%    0.0%  __vsnprintf
      1    0.0%    0.0%  __pthread_once_slow
      1    0.0%    0.0%  __pthread_condattr_init
      1    0.0%    0.0%  __pthread_cond_wait
      1    0.0%    0.0%  __GI___pthread_once
      1    0.0%    0.0%  _IO_padn
      1    0.0%    0.0%  _IO_file_xsputn
      1    0.0%    0.0%  _IO_file_write
      1    0.0%    0.0%  _IO_file_sync

 [Summary]:
   ticks  total  nonlib   name
  12999    4.4%    5.0%  JavaScript
  187674   63.9%   72.1%  C++
   1588    0.5%    0.6%  GC
  33172   11.3%          Shared libraries
  59797   20.4%          Unaccounted

 [C++ entry points]:
   ticks    cpp   total   name
  10669   51.7%    3.6%  __libc_sendmsg
   3087   14.9%    1.1%  v8::internal::Builtin_HandleApiCall(int, unsigned long*, v8::internal::Isolate*)
   1452    7.0%    0.5%  v8::internal::Builtin_ArrayBufferConstructor(int, unsigned long*, v8::internal::Isolate*)
    336    1.6%    0.1%  v8::internal::Builtin_JsonParse(int, unsigned long*, v8::internal::Isolate*)
    315    1.5%    0.1%  node::task_queue::RunMicrotasks(v8::FunctionCallbackInfo<v8::Value> const&)
    281    1.4%    0.1%  __write
    199    1.0%    0.1%  v8::External::Value() const
    165    0.8%    0.1%  napi_unwrap
    152    0.7%    0.1%  v8::internal::Builtin_TypedArrayPrototypeBuffer(int, unsigned long*, v8::internal::Isolate*)
    125    0.6%    0.0%  v8::Context::GetNumberOfEmbedderDataFields()
    122    0.6%    0.0%  v8::internal::PrototypeIterator::Advance()
    120    0.6%    0.0%  v8impl::(anonymous namespace)::FunctionCallbackWrapper::Invoke(v8::FunctionCallbackInfo<v8::Value> const&)
    118    0.6%    0.0%  node::(anonymous namespace)::Parser::Execute(v8::FunctionCallbackInfo<v8::Value> const&)
     99    0.5%    0.0%  v8::internal::ReadOnlyHeap::GetReadOnlyRoots(v8::internal::HeapObject)
     97    0.5%    0.0%  napi_get_cb_info
     92    0.4%    0.0%  node_napi_env__::can_call_into_js() const
     89    0.4%    0.0%  node::UDPWrap::Send(uv_buf_t*, unsigned long, sockaddr const*)
     87    0.4%    0.0%  __libc_malloc
     83    0.4%    0.0%  __libc_realloc
     80    0.4%    0.0%  node::UDPWrap::DoSend(v8::FunctionCallbackInfo<v8::Value> const&, int)
     80    0.4%    0.0%  int v8::(anonymous namespace)::WriteUtf8Impl<unsigned char>(v8::internal::Vector<unsigned char const>, char*, int, int, int*)
     76    0.4%    0.0%  node::NodePlatform::CurrentClockTimeMillis()
     75    0.4%    0.0%  node::StringBytes::StorageSize(v8::Isolate*, v8::Local<v8::Value>, node::encoding)
     72    0.3%    0.0%  node::(anonymous namespace)::GetLibuvNow(v8::FunctionCallbackInfo<v8::Value> const&)
     66    0.3%    0.0%  v8::Object::InternalFieldCount()
     63    0.3%    0.0%  __GI___pthread_mutex_lock
     62    0.3%    0.0%  __GI___pthread_getspecific
     61    0.3%    0.0%  napi_get_typedarray_info
     59    0.3%    0.0%  node::util::SetHiddenValue(v8::FunctionCallbackInfo<v8::Value> const&)
     58    0.3%    0.0%  node::NodeArrayBufferAllocator::AllocateUninitialized(unsigned long)
     56    0.3%    0.0%  v8::internal::LookupIterator::PropertyOrElement(v8::internal::Isolate*, v8::internal::Handle<v8::internal::Object>, v8::internal::Handle<v8::internal::Name>, v8::internal::Handle<v8::internal::JSReceiver>, v8::internal::LookupIterator::Configuration)
     55    0.3%    0.0%  v8::Value::IsObject() const
     54    0.3%    0.0%  v8::internal::Isolate::native_context()
     54    0.3%    0.0%  v8::ArrayBuffer::GetContents()
     54    0.3%    0.0%  __lll_unlock_wake
     52    0.3%    0.0%  _init
     50    0.2%    0.0%  log
     49    0.2%    0.0%  node::(anonymous namespace)::IsAnyArrayBuffer(v8::FunctionCallbackInfo<v8::Value> const&)
     49    0.2%    0.0%  napi_create_buffer_copy
     48    0.2%    0.0%  node::Buffer::Copy(node::Environment*, char const*, unsigned long)
     46    0.2%    0.0%  v8::Object::SetPrototype(v8::Local<v8::Context>, v8::Local<v8::Value>)
     46    0.2%    0.0%  exp
     44    0.2%    0.0%  node::UDPWrap::Send(v8::FunctionCallbackInfo<v8::Value> const&)
     43    0.2%    0.0%  v8::EscapableHandleScope::EscapableHandleScope(v8::Isolate*)
     43    0.2%    0.0%  __log10_finite
     42    0.2%    0.0%  std::__detail::_Prime_rehash_policy::_M_need_rehash(unsigned long, unsigned long, unsigned long) const
     40    0.2%    0.0%  v8::TypedArray::Length()
     39    0.2%    0.0%  node::Buffer::Copy(v8::Isolate*, char const*, unsigned long)
     37    0.2%    0.0%  v8::internal::libc_memmove(void*, void const*, unsigned long)
     37    0.2%    0.0%  v8::ArrayBuffer::New(v8::Isolate*, void*, unsigned long, v8::ArrayBufferCreationMode)
     37    0.2%    0.0%  node::Buffer::New(node::Environment*, char*, unsigned long, bool)
     36    0.2%    0.0%  v8::internal::Builtin_ObjectDefineProperty(int, unsigned long*, v8::internal::Isolate*)
     36    0.2%    0.0%  v8::String::WriteUtf8(v8::Isolate*, char*, int, int*, int) const
     35    0.2%    0.0%  v8::Object::SetPrivate(v8::Local<v8::Context>, v8::Local<v8::Private>, v8::Local<v8::Value>)
     35    0.2%    0.0%  node::Buffer::HasInstance(v8::Local<v8::Value>)
     34    0.2%    0.0%  v8::internal::HandleScope::~HandleScope()
     34    0.2%    0.0%  node::Environment::GetNow()
     31    0.2%    0.0%  v8::Value::IsArrayBufferView() const
     30    0.1%    0.0%  __pthread_cond_signal
     29    0.1%    0.0%  v8::internal::MarkingBarrier(v8::internal::HeapObject, v8::internal::FullObjectSlot, v8::internal::Object)
     28    0.1%    0.0%  v8::Value::IsExternal() const
     27    0.1%    0.0%  node::Utf8Value::Utf8Value(v8::Isolate*, v8::Local<v8::Value>)
     26    0.1%    0.0%  v8::Isolate::SuppressMicrotaskExecutionScope::SuppressMicrotaskExecutionScope(v8::Isolate*)
     26    0.1%    0.0%  node::Environment::untransferable_object_private_symbol() const
     24    0.1%    0.0%  v8::Value::ToString(v8::Local<v8::Context>) const
     23    0.1%    0.0%  v8::(anonymous namespace)::CallDepthScope<false>::CallDepthScope(v8::internal::Isolate*, v8::Local<v8::Context>)
     23    0.1%    0.0%  node::Buffer::(anonymous namespace)::Compare(v8::FunctionCallbackInfo<v8::Value> const&)
     23    0.1%    0.0%  napi_is_buffer
     22    0.1%    0.0%  v8::ArrayBufferView::Buffer()
     21    0.1%    0.0%  v8::ArrayBufferView::ByteLength()
     20    0.1%    0.0%  v8::internal::Builtin_DateConstructor(int, unsigned long*, v8::internal::Isolate*)
     20    0.1%    0.0%  v8::internal::Builtin_ArrayBufferPrototypeGetByteLength(int, unsigned long*, v8::internal::Isolate*)
     20    0.1%    0.0%  v8::ArrayBufferView::HasBuffer() const
     19    0.1%    0.0%  v8::internal::libc_memset(void*, int, unsigned long)
     19    0.1%    0.0%  __clock_gettime
     17    0.1%    0.0%  v8::Value::IntegerValue(v8::Local<v8::Context>) const
     17    0.1%    0.0%  operator new(unsigned long)
     16    0.1%    0.0%  v8::String::Length() const
     16    0.1%    0.0%  v8::ArrayBufferView::ByteOffset()
     16    0.1%    0.0%  napi_get_buffer_info
     14    0.1%    0.0%  v8::Value::IsTypedArray() const
     14    0.1%    0.0%  v8::(anonymous namespace)::CallDepthScope<true>::CallDepthScope(v8::internal::Isolate*, v8::Local<v8::Context>)
     13    0.1%    0.0%  v8::internal::Builtin_DateNow(int, unsigned long*, v8::internal::Isolate*)
     13    0.1%    0.0%  v8::TryCatch::TryCatch(v8::Isolate*)
     13    0.1%    0.0%  v8::Isolate::GetCurrentContext()
     13    0.1%    0.0%  v8::EscapableHandleScope::Escape(unsigned long*)
     12    0.1%    0.0%  v8::Value::IsBoolean() const
     12    0.1%    0.0%  node::Environment::ScheduleTimer(long)
     11    0.1%    0.0%  v8::Value::IsArrayBuffer() const
     11    0.1%    0.0%  v8::Uint8Array::New(v8::Local<v8::ArrayBuffer>, unsigned long, unsigned long)
     11    0.1%    0.0%  v8::Uint32::Value() const
     11    0.1%    0.0%  v8::HandleScope::HandleScope(v8::Isolate*)
     11    0.1%    0.0%  node::Buffer::Length(v8::Local<v8::Value>)
     11    0.1%    0.0%  node::(anonymous namespace)::ScheduleTimer(v8::FunctionCallbackInfo<v8::Value> const&)
     10    0.0%    0.0%  v8::MicrotasksScope::PerformCheckpoint(v8::Isolate*)
     10    0.0%    0.0%  v8::HandleScope::~HandleScope()
     10    0.0%    0.0%  v8::(anonymous namespace)::CallDepthScope<false>::~CallDepthScope()
     10    0.0%    0.0%  node::url::(anonymous namespace)::Parse(v8::FunctionCallbackInfo<v8::Value> const&)
     10    0.0%    0.0%  __pthread_mutex_unlock_usercnt
      9    0.0%    0.0%  v8::internal::heap_internals::GenerationalBarrierInternal(v8::internal::HeapObject, unsigned long, v8::internal::HeapObject)
      9    0.0%    0.0%  log10
      9    0.0%    0.0%  __libc_free
      8    0.0%    0.0%  v8::internal::String::Flatten(v8::internal::Isolate*, v8::internal::Handle<v8::internal::String>, v8::internal::AllocationType)
      8    0.0%    0.0%  v8::internal::Builtin_JsonStringify(int, unsigned long*, v8::internal::Isolate*)
      8    0.0%    0.0%  v8::Value::IsUint8Array() const
      8    0.0%    0.0%  v8::Value::IsUint32() const
      8    0.0%    0.0%  v8::Value::IsInt8Array() const
      8    0.0%    0.0%  v8::TryCatch::SetVerbose(bool)
      8    0.0%    0.0%  __pthread_enable_asynccancel
      7    0.0%    0.0%  v8::Value::IsArray() const
      7    0.0%    0.0%  v8::Object::Get(v8::Local<v8::Context>, v8::Local<v8::Value>)
      7    0.0%    0.0%  v8::Object::Get(v8::Local<v8::Context>, unsigned int)
      7    0.0%    0.0%  node::inspector::(anonymous namespace)::InspectorConsoleCall(v8::FunctionCallbackInfo<v8::Value> const&)
      7    0.0%    0.0%  mprotect
      6    0.0%    0.0%  v8::internal::Builtins::builtin_handle(int)
      6    0.0%    0.0%  v8::internal::Builtin_StringPrototypeLastIndexOf(int, unsigned long*, v8::internal::Isolate*)
      6    0.0%    0.0%  v8::TryCatch::~TryCatch()
      6    0.0%    0.0%  std::__detail::_Prime_rehash_policy::_M_next_bkt(unsigned long) const
      6    0.0%    0.0%  node::loader::ModuleWrap::Evaluate(v8::FunctionCallbackInfo<v8::Value> const&)
      5    0.0%    0.0%  v8::internal::Builtin_ObjectFreeze(int, unsigned long*, v8::internal::Isolate*)
      5    0.0%    0.0%  v8::internal::Builtin_ArrayShift(int, unsigned long*, v8::internal::Isolate*)
      5    0.0%    0.0%  v8::internal::AstValueFactory::GetString(unsigned int, bool, v8::internal::Vector<unsigned char const>)
      5    0.0%    0.0%  v8::internal::AstValueFactory::GetOneByteStringInternal(v8::internal::Vector<unsigned char const>)
      5    0.0%    0.0%  v8::Integer::NewFromUnsigned(v8::Isolate*, unsigned int)
      5    0.0%    0.0%  v8::(anonymous namespace)::CallDepthScope<true>::~CallDepthScope()
      5    0.0%    0.0%  _IO_fwrite
      4    0.0%    0.0%  v8::Object::GetPrivate(v8::Local<v8::Context>, v8::Local<v8::Private>)
      4    0.0%    0.0%  std::basic_ostream<char, std::char_traits<char> >& std::__ostream_insert<char, std::char_traits<char> >(std::basic_ostream<char, std::char_traits<char> >&, char const*, long)
      4    0.0%    0.0%  node::Buffer::Data(v8::Local<v8::Value>)
      4    0.0%    0.0%  node::Buffer::(anonymous namespace)::ParseArrayIndex(node::Environment*, v8::Local<v8::Value>, unsigned long, unsigned long*)
      4    0.0%    0.0%  __pthread_disable_asynccancel
      3    0.0%    0.0%  void node::Buffer::(anonymous namespace)::StringSlice<(node::encoding)5>(v8::FunctionCallbackInfo<v8::Value> const&)
      3    0.0%    0.0%  v8::internal::Compiler::Compile(v8::internal::Handle<v8::internal::JSFunction>, v8::internal::Compiler::ClearExceptionFlag, v8::internal::IsCompiledScope*)
